"Time (UTC)","Sensor output (cm)","Quality parameter","Temperature (°C)","Corrected distance (cm)","Snow height (cm)"
"2017-09-12 12:10:10","143.90 ± 1.00","198.67","-62.0","126.52 ± 1.00","75.28 ± 1.00"
"2017-09-12 00:10:10","143.13 ± 1.00","264.00","-58.9","126.77 ± 1.00","75.03 ± 1.00"
"2017-09-11 00:10:09","138.30 ± 1.00","209.33","-62.9","121.34 ± 1.00","80.46 ± 1.00"
"2017-09-10 12:10:10","156.60 ± 1.00","217.00","-68.0","135.71 ± 1.00","66.09 ± 1.00"
"2017-09-10 00:10:10","154.27 ± 1.00","217.33","-62.5","135.47 ± 1.00","66.33 ± 1.00"
"2017-09-09 12:10:09","151.83 ± 1.00","203.00","-54.6","135.81 ± 1.00","65.99 ± 1.00"
"2017-09-09 00:10:09","148.60 ± 1.00","241.33","-46.1","135.48 ± 1.00","66.32 ± 1.00"
"2017-09-08 12:10:09","147.10 ± 1.00","206.00","-44.0","134.73 ± 1.00","67.07 ± 1.00"
"2017-09-08 00:10:10","129.83 ± 1.00","192.67","-51.1","117.06 ± 1.00","84.74 ± 1.00"
"2017-09-07 00:10:09","149.60 ± 1.00","197.00","-51.8","134.67 ± 1.00","67.13 ± 1.00"
"2017-09-06 12:10:10","150.87 ± 1.00","218.33","-60.8","133.02 ± 1.00","68.78 ± 1.00"
"2017-09-06 00:10:10","153.37 ± 1.00","235.33","-66.1","133.53 ± 1.00","68.27 ± 1.00"
"2017-09-05 12:10:09","155.20 ± 1.00","252.67","-70.9","133.55 ± 1.00","68.25 ± 1.00"
"2017-09-05 00:10:09","155.57 ± 1.00","254.67","-70.7","133.93 ± 1.00","67.87 ± 1.00"
"2017-09-04 12:10:10","151.67 ± 1.00","275.00","-64.1","132.68 ± 1.00","69.12 ± 1.00"
"2017-09-04 00:10:10","152.33 ± 1.00","228.33","-64.7","133.07 ± 1.00","68.73 ± 1.00"
"2017-09-03 12:10:09","148.50 ± 1.00","216.00","-54.7","132.80 ± 1.00","69.00 ± 1.00"
"2017-09-03 00:10:09","148.93 ± 1.00","208.00","-55.3","133.01 ± 1.00","68.79 ± 1.00"
"2017-09-02 12:10:09","151.10 ± 1.00","234.33","-63.2","132.47 ± 1.00","69.33 ± 1.00"
"2017-09-02 00:10:09","151.60 ± 1.00","227.67","-64.1","132.62 ± 1.00","69.18 ± 1.00"
"2017-09-01 12:10:09","149.83 ± 1.00","198.33","-60.5","132.20 ± 1.00","69.60 ± 1.00"
"2017-09-01 00:10:10","151.63 ± 1.00","241.00","-63.7","132.78 ± 1.00","69.02 ± 1.00"
"2017-08-31 12:10:09","140.90 ± 1.00","173.67","-64.3","123.20 ± 1.00","78.60 ± 1.00"
"2017-08-31 00:10:10","152.10 ± 1.00","224.67","-63.0","133.41 ± 1.00","68.39 ± 1.00"
"2017-08-30 12:10:09","152.23 ± 1.00","231.67","-63.6","133.34 ± 1.00","68.46 ± 1.00"
"2017-08-29 12:10:09","151.83 ± 1.00","220.00","-63.0","133.18 ± 1.00","68.62 ± 1.00"
"2017-08-29 00:10:10","152.77 ± 1.00","223.67","-70.8","131.49 ± 1.00","70.31 ± 1.00"
"2017-08-28 12:10:10","154.13 ± 1.00","233.00","-73.6","131.74 ± 1.00","70.06 ± 1.00"
"2017-08-28 00:10:09","154.53 ± 1.00","233.00","-75.5","131.45 ± 1.00","70.35 ± 1.00"
"2017-08-27 12:10:09","154.80 ± 1.00","232.33","-74.4","132.05 ± 1.00","69.75 ± 1.00"
"2017-08-27 00:10:09","154.20 ± 1.00","225.67","-72.5","132.16 ± 1.00","69.64 ± 1.00"
"2017-08-26 12:10:09","152.93 ± 1.00","228.33","-69.2","132.15 ± 1.00","69.65 ± 1.00"
"2017-08-26 00:10:10","152.43 ± 1.00","225.33","-68.4","131.97 ± 1.00","69.83 ± 1.00"
"2017-08-25 12:10:10","152.00 ± 1.00","221.00","-66.7","132.14 ± 1.00","69.66 ± 1.00"
"2017-08-25 00:10:09","150.27 ± 1.00","223.00","-62.0","132.12 ± 1.00","69.68 ± 1.00"
"2017-08-24 12:10:09","148.03 ± 1.00","214.67","-55.8","132.05 ± 1.00","69.75 ± 1.00"
"2017-08-24 00:10:09","146.13 ± 1.00","233.00","-50.9","131.82 ± 1.00","69.98 ± 1.00"
"2017-08-23 12:10:10","147.17 ± 1.00","225.33","-53.2","132.06 ± 1.00","69.74 ± 1.00"
"2017-08-23 00:10:10","147.73 ± 1.00","232.67","-54.8","132.09 ± 1.00","69.71 ± 1.00"
"2017-08-22 12:10:09","144.17 ± 1.00","264.67","-45.7","131.55 ± 1.00","70.25 ± 1.00"
"2017-08-20 12:10:10","146.07 ± 1.00","175.33","-59.6","129.15 ± 1.00","72.65 ± 1.00"
"2017-08-20 00:10:09","148.00 ± 1.00","206.33","-55.1","132.23 ± 1.00","69.57 ± 1.00"
"2017-08-19 12:10:10","147.43 ± 1.00","225.33","-54.5","131.91 ± 1.00","69.89 ± 1.00"
"2017-08-19 00:10:10","148.07 ± 1.00","206.33","-56.9","131.75 ± 1.00","70.05 ± 1.00"
"2017-08-18 12:10:09","148.10 ± 1.00","280.00","-52.1","133.23 ± 1.00","68.57 ± 1.00"
"2017-08-18 00:10:09","143.80 ± 1.00","195.00","-43.4","131.88 ± 1.00","69.92 ± 1.00"
"2017-08-17 12:10:09","143.90 ± 1.00","195.00","-42.6","132.20 ± 1.00","69.60 ± 1.00"
"2017-08-16 12:10:09","141.30 ± 1.00","216.33","-49.3","127.91 ± 1.00","73.89 ± 1.00"
"2017-08-16 00:10:10","145.47 ± 1.00","248.00","-54.1","130.27 ± 1.00","71.53 ± 1.00"
"2017-08-11 12:10:09","147.27 ± 1.00","216.00","-66.7","128.03 ± 1.00","73.77 ± 1.00"
"2017-08-11 00:10:10","146.17 ± 1.00","249.67","-69.5","126.21 ± 1.00","75.59 ± 1.00"
"2017-08-10 12:10:10","150.53 ± 1.00","269.33","-66.9","130.81 ± 1.00","70.99 ± 1.00"
"2017-08-09 12:10:09","150.13 ± 1.00","188.67","-63.5","131.53 ± 1.00","70.27 ± 1.00"
"2017-08-09 00:10:10","146.27 ± 1.00","283.00","-63.4","128.17 ± 1.00","73.63 ± 1.00"
"2017-08-08 12:10:10","147.10 ± 1.00","200.33","-69.1","127.14 ± 1.00","74.66 ± 1.00"
"2017-08-08 00:10:09","147.03 ± 1.00","221.00","-67.2","127.67 ± 1.00","74.13 ± 1.00"
"2017-08-07 12:10:09","146.20 ± 1.00","227.00","-65.8","127.38 ± 1.00","74.42 ± 1.00"
"2017-08-07 00:10:10","145.77 ± 1.00","217.33","-67.2","126.57 ± 1.00","75.23 ± 1.00"
"2017-08-06 12:10:09","149.10 ± 1.00","196.00","-62.8","130.84 ± 1.00","70.96 ± 1.00"
"2017-08-06 00:10:09","141.13 ± 1.00","198.00","-57.2","125.49 ± 1.00","76.31 ± 1.00"
"2017-08-05 12:10:09","135.13 ± 1.00","275.67","-53.6","121.15 ± 1.00","80.65 ± 1.00"
"2017-08-05 00:10:09","136.83 ± 1.00","195.67","-54.2","122.51 ± 1.00","79.29 ± 1.00"
"2017-08-04 12:10:09","147.03 ± 1.00","203.00","-54.1","131.67 ± 1.00","70.13 ± 1.00"
"2017-08-04 00:10:09","142.90 ± 1.00","183.33","-54.2","127.94 ± 1.00","73.86 ± 1.00"
"2017-08-03 12:10:10","140.43 ± 1.00","223.33","-54.6","125.62 ± 1.00","76.18 ± 1.00"
"2017-08-03 00:10:10","148.27 ± 1.00","201.33","-60.6","130.79 ± 1.00","71.01 ± 1.00"
"2017-08-02 12:10:09","146.00 ± 1.00","188.67","-54.8","130.54 ± 1.00","71.26 ± 1.00"
"2017-08-02 00:10:09","141.33 ± 1.00","204.67","-54.8","126.36 ± 1.00","75.44 ± 1.00"
"2017-08-01 12:10:09","146.67 ± 1.00","196.00","-56.5","130.62 ± 1.00","71.18 ± 1.00"
"2017-08-01 00:10:09","145.73 ± 1.00","198.67","-56.9","129.67 ± 1.00","72.13 ± 1.00"
"2017-07-31 12:10:09","143.80 ± 1.00","241.00","-53.0","129.10 ± 1.00","72.70 ± 1.00"
"2017-07-31 00:10:09","144.13 ± 1.00","201.00","-53.0","129.40 ± 1.00","72.40 ± 1.00"
"2017-07-30 12:10:09","144.80 ± 1.00","210.67","-62.1","127.28 ± 1.00","74.52 ± 1.00"
"2017-07-30 00:10:09","144.07 ± 1.00","210.33","-61.7","126.76 ± 1.00","75.04 ± 1.00"
"2017-07-29 12:10:10","133.53 ± 1.00","203.33","-56.6","118.90 ± 1.00","82.90 ± 1.00"
"2017-07-29 00:10:09","134.87 ± 1.00","239.00","-60.0","119.14 ± 1.00","82.66 ± 1.00"
"2017-07-28 12:10:10","140.33 ± 1.00","201.33","-58.0","124.55 ± 1.00","77.25 ± 1.00"
"2017-07-28 00:10:10","138.17 ± 1.00","194.67","-56.3","123.11 ± 1.00","78.69 ± 1.00"
"2017-07-27 00:10:09","158.90 ± 1.00","220.33","-51.2","143.24 ± 1.00","58.56 ± 1.00"
"2017-07-26 12:10:09","141.87 ± 1.00","202.33","-49.2","128.46 ± 1.00","73.34 ± 1.00"
"2017-07-20 00:10:09","145.90 ± 1.00","253.67","-57.2","129.73 ± 1.00","72.07 ± 1.00"
"2017-07-19 12:10:09","159.20 ± 1.00","253.33","-55.8","142.01 ± 1.00","59.79 ± 1.00"
"2017-07-19 00:10:09","128.63 ± 1.00","195.33","-54.9","114.98 ± 1.00","86.82 ± 1.00"
"2017-07-18 12:10:09","156.90 ± 1.00","191.67","-51.5","141.34 ± 1.00","60.46 ± 1.00"
"2017-07-17 12:10:10","145.63 ± 1.00","180.33","-59.4","128.83 ± 1.00","72.97 ± 1.00"
"2017-07-17 00:10:09","152.17 ± 1.00","212.67","-57.5","135.21 ± 1.00","66.59 ± 1.00"
"2017-07-16 12:10:09","157.30 ± 1.00","255.67","-57.6","139.73 ± 1.00","62.07 ± 1.00"
"2017-07-16 00:10:10","159.33 ± 1.00","213.33","-58.3","141.31 ± 1.00","60.49 ± 1.00"
"2017-07-15 12:10:09","145.57 ± 1.00","218.33","-57.1","129.46 ± 1.00","72.34 ± 1.00"
"2017-07-15 00:10:09","158.43 ± 1.00","223.67","-54.9","141.62 ± 1.00","60.18 ± 1.00"
"2017-07-14 12:10:10","146.77 ± 1.00","227.00","-55.7","130.95 ± 1.00","70.85 ± 1.00"
"2017-07-14 00:10:09","141.10 ± 1.00","194.00","-60.5","124.50 ± 1.00","77.30 ± 1.00"
"2017-07-13 12:10:10","156.73 ± 1.00","204.67","-67.0","136.16 ± 1.00","65.64 ± 1.00"
"2017-07-13 00:10:10","162.90 ± 1.00","245.33","-72.4","139.65 ± 1.00","62.15 ± 1.00"
"2017-07-12 12:10:09","162.07 ± 1.00","238.33","-66.9","140.83 ± 1.00","60.97 ± 1.00"
"2017-07-12 00:10:09","159.97 ± 1.00","198.67","-61.1","140.94 ± 1.00","60.86 ± 1.00"
"2017-07-11 12:10:09","153.87 ± 1.00","253.67","-66.5","133.83 ± 1.00","67.97 ± 1.00"
"2017-07-11 00:10:09","151.83 ± 1.00","234.00","-60.4","134.00 ± 1.00","67.80 ± 1.00"
"2017-07-10 12:10:10","151.47 ± 1.00","267.33","-60.1","133.77 ± 1.00","68.03 ± 1.00"
"2017-07-10 00:10:09","155.67 ± 1.00","203.00","-70.5","134.08 ± 1.00","67.72 ± 1.00"
"2017-07-09 12:10:09","152.30 ± 1.00","198.67","-62.5","133.75 ± 1.00","68.05 ± 1.00"
"2017-07-09 00:10:09","158.03 ± 1.00","204.00","-55.9","140.94 ± 1.00","60.86 ± 1.00"
"2017-07-08 12:10:09","157.77 ± 1.00","200.33","-59.4","139.56 ± 1.00","62.24 ± 1.00"
"2017-07-08 00:10:09","158.50 ± 1.00","218.00","-57.9","140.70 ± 1.00","61.10 ± 1.00"
"2017-07-07 12:10:09","157.60 ± 1.00","272.67","-55.9","140.55 ± 1.00","61.25 ± 1.00"
"2017-07-07 00:10:10","146.97 ± 1.00","222.00","-57.1","130.71 ± 1.00","71.09 ± 1.00"
"2017-07-06 12:10:09","140.70 ± 1.00","223.00","-59.1","124.55 ± 1.00","77.25 ± 1.00"
"2017-07-06 00:10:09","132.40 ± 1.00","277.67","-57.9","117.53 ± 1.00","84.27 ± 1.00"
"2017-07-05 00:10:09","131.37 ± 1.00","290.33","-54.7","117.48 ± 1.00","84.32 ± 1.00"
"2017-07-04 00:10:09","130.80 ± 1.00","204.33","-62.4","114.89 ± 1.00","86.91 ± 1.00"
"2017-07-03 00:10:09","158.60 ± 1.00","233.00","-67.8","137.51 ± 1.00","64.29 ± 1.00"
"2017-07-02 12:10:09","154.93 ± 1.00","200.00","-67.9","134.30 ± 1.00","67.50 ± 1.00"
"2017-07-02 00:10:09","156.10 ± 1.00","232.33","-59.1","138.18 ± 1.00","63.62 ± 1.00"
"2017-07-01 12:10:09","140.43 ± 1.00","231.33","-50.8","126.70 ± 1.00","75.10 ± 1.00"
"2017-06-30 12:10:09","141.20 ± 1.00","240.00","-50.8","127.40 ± 1.00","74.40 ± 1.00"
"2017-06-29 00:10:09","135.77 ± 1.00","236.33","-44.2","124.30 ± 1.00","77.50 ± 1.00"
"2017-06-28 12:10:09","156.60 ± 1.00","184.67","-52.0","140.91 ± 1.00","60.89 ± 1.00"
"2017-06-27 12:10:10","149.23 ± 1.00","248.33","-60.5","131.67 ± 1.00","70.13 ± 1.00"
"2017-06-27 00:10:09","124.23 ± 1.00","241.00","-64.3","108.63 ± 1.00","93.17 ± 1.00"
"2017-06-26 12:10:10","148.87 ± 1.00","234.33","-64.9","129.98 ± 1.00","71.82 ± 1.00"
"2017-06-25 12:10:09","157.87 ± 1.00","216.33","-60.5","139.29 ± 1.00","62.51 ± 1.00"
"2017-06-25 00:10:10","148.93 ± 1.00","227.00","-55.4","132.98 ± 1.00","68.82 ± 1.00"
"2017-06-24 12:10:09","155.03 ± 1.00","199.67","-54.6","138.68 ± 1.00","63.12 ± 1.00"
"2017-06-24 00:10:09","155.63 ± 1.00","200.67","-57.6","138.25 ± 1.00","63.55 ± 1.00"
"2017-06-23 12:10:10","154.93 ± 1.00","198.67","-54.3","138.68 ± 1.00","63.12 ± 1.00"
"2017-06-23 00:10:10","153.87 ± 1.00","189.67","-51.7","138.54 ± 1.00","63.26 ± 1.00"
"2017-06-22 12:10:10","152.50 ± 1.00","193.33","-48.4","138.33 ± 1.00","63.47 ± 1.00"
"2017-06-22 00:10:09","152.97 ± 1.00","229.00","-49.4","138.45 ± 1.00","63.35 ± 1.00"
"2017-06-21 12:10:09","151.27 ± 1.00","216.33","-43.8","138.61 ± 1.00","63.19 ± 1.00"
"2017-06-21 00:10:09","152.00 ± 1.00","203.33","-45.6","138.73 ± 1.00","63.07 ± 1.00"
"2017-06-20 12:10:10","151.50 ± 1.00","185.33","-47.7","137.64 ± 1.00","64.16 ± 1.00"
"2017-06-20 00:10:09","169.53 ± 1.00","212.00","-52.6","152.34 ± 1.00","49.46 ± 1.00"
"2017-06-19 12:10:09","154.00 ± 1.00","221.00","-56.1","137.28 ± 1.00","64.52 ± 1.00"
"2017-06-19 00:10:10","160.00 ± 1.00","209.00","-66.3","139.23 ± 1.00","62.57 ± 1.00"
"2017-06-18 12:10:09","158.73 ± 1.00","278.67","-71.9","136.25 ± 1.00","65.55 ± 1.00"
"2017-06-17 12:10:09","159.73 ± 1.00","220.00","-66.2","139.04 ± 1.00","62.76 ± 1.00"
"2017-06-17 00:10:09","157.17 ± 1.00","218.67","-58.7","139.26 ± 1.00","62.54 ± 1.00"
"2017-06-16 12:10:10","155.87 ± 1.00","200.00","-57.6","138.46 ± 1.00","63.34 ± 1.00"
"2017-06-16 00:10:09","155.13 ± 1.00","194.00","-55.8","138.38 ± 1.00","63.42 ± 1.00"
"2017-06-15 12:10:09","149.43 ± 1.00","242.00","-55.3","133.45 ± 1.00","68.35 ± 1.00"
"2017-06-14 12:10:09","156.90 ± 1.00","226.00","-62.1","137.92 ± 1.00","63.88 ± 1.00"
"2017-06-13 12:10:09","156.07 ± 1.00","207.00","-61.5","137.38 ± 1.00","64.42 ± 1.00"
"2017-06-13 00:10:10","157.40 ± 1.00","211.67","-65.3","137.30 ± 1.00","64.50 ± 1.00"
"2017-06-12 12:10:10","157.60 ± 1.00","209.33","-67.0","136.91 ± 1.00","64.89 ± 1.00"
"2017-06-12 00:10:09","156.43 ± 1.00","210.33","-65.2","136.49 ± 1.00","65.31 ± 1.00"
"2017-06-11 12:10:09","156.23 ± 1.00","192.33","-60.1","137.98 ± 1.00","63.82 ± 1.00"
"2017-06-11 00:10:10","157.97 ± 1.00","222.67","-63.0","138.56 ± 1.00","63.24 ± 1.00"
"2017-06-10 12:10:09","156.53 ± 1.00","212.00","-63.8","137.04 ± 1.00","64.76 ± 1.00"
"2017-06-09 12:10:10","152.33 ± 1.00","199.00","-68.5","131.86 ± 1.00","69.94 ± 1.00"
"2017-06-08 00:10:09","158.23 ± 1.00","239.00","-69.0","136.80 ± 1.00","65.00 ± 1.00"
"2017-06-07 12:10:10","157.17 ± 1.00","204.00","-64.8","137.26 ± 1.00","64.54 ± 1.00"
"2017-06-03 12:10:10","150.47 ± 1.00","212.00","-49.1","136.27 ± 1.00","65.53 ± 1.00"
"2017-06-03 00:10:09","156.53 ± 1.00","245.00","-63.5","137.14 ± 1.00","64.66 ± 1.00"
"2017-06-02 12:10:09","156.17 ± 1.00","243.00","-64.0","136.65 ± 1.00","65.15 ± 1.00"
"2017-06-02 00:10:10","154.00 ± 1.00","258.67","-61.2","135.66 ± 1.00","66.14 ± 1.00"
"2017-06-01 12:10:09","153.63 ± 1.00","244.67","-55.1","137.27 ± 1.00","64.53 ± 1.00"
"2017-06-01 00:10:09","154.53 ± 1.00","251.00","-59.7","136.61 ± 1.00","65.19 ± 1.00"
"2017-05-31 12:10:09","154.87 ± 1.00","243.00","-58.6","137.25 ± 1.00","64.55 ± 1.00"
"2017-05-31 00:10:09","151.70 ± 1.00","233.67","-50.2","137.05 ± 1.00","64.75 ± 1.00"
"2017-05-30 12:10:10","155.03 ± 1.00","214.00","-59.2","137.21 ± 1.00","64.59 ± 1.00"
"2017-05-30 00:10:09","154.90 ± 1.00","220.00","-58.8","137.22 ± 1.00","64.58 ± 1.00"
"2017-05-29 12:10:09","152.97 ± 1.00","237.33","-56.1","136.36 ± 1.00","65.44 ± 1.00"
"2017-05-29 00:10:09","153.70 ± 1.00","226.33","-56.9","136.76 ± 1.00","65.04 ± 1.00"
"2017-05-28 12:10:10","152.97 ± 1.00","205.00","-54.7","136.80 ± 1.00","65.00 ± 1.00"
"2017-05-27 00:10:09","178.17 ± 1.00","225.67","-51.6","160.46 ± 1.00","41.34 ± 1.00"
"2017-05-26 12:10:09","150.67 ± 1.00","277.00","-49.5","136.33 ± 1.00","65.47 ± 1.00"
"2017-05-26 00:10:09","150.83 ± 1.00","188.33","-57.6","133.99 ± 1.00","67.81 ± 1.00"
"2017-05-25 12:10:09","157.47 ± 1.00","198.33","-63.0","138.12 ± 1.00","63.68 ± 1.00"
"2017-05-25 00:10:09","153.77 ± 1.00","263.00","-60.3","135.74 ± 1.00","66.06 ± 1.00"
"2017-05-24 12:10:09","161.53 ± 1.00","234.00","-59.6","142.83 ± 1.00","58.97 ± 1.00"
"2017-05-24 00:10:09","160.30 ± 1.00","202.00","-54.7","143.35 ± 1.00","58.45 ± 1.00"
"2017-05-23 12:10:09","155.80 ± 1.00","206.00","-56.1","138.88 ± 1.00","62.92 ± 1.00"
"2017-05-23 00:10:09","158.77 ± 1.00","192.00","-59.7","140.35 ± 1.00","61.45 ± 1.00"
"2017-05-22 00:10:09","161.80 ± 1.00","201.00","-64.7","141.34 ± 1.00","60.46 ± 1.00"
"2017-05-21 12:10:09","160.40 ± 1.00","196.00","-54.4","143.54 ± 1.00","58.26 ± 1.00"
"2017-05-21 00:10:09","157.23 ± 1.00","291.00","-53.9","140.87 ± 1.00","60.93 ± 1.00"
"2017-05-20 12:10:09","158.53 ± 1.00","197.67","-58.2","140.63 ± 1.00","61.17 ± 1.00"
"2017-05-19 12:10:09","152.40 ± 1.00","222.33","-60.5","134.47 ± 1.00","67.33 ± 1.00"
"2017-05-19 00:10:10","149.33 ± 1.00","236.00","-64.1","130.64 ± 1.00","71.16 ± 1.00"
"2017-05-18 12:10:10","156.10 ± 1.00","242.33","-59.2","138.15 ± 1.00","63.65 ± 1.00"
"2017-05-17 12:10:10","162.87 ± 1.00","284.33","-56.7","144.98 ± 1.00","56.82 ± 1.00"
"2017-05-17 00:10:09","159.73 ± 1.00","194.67","-50.4","144.25 ± 1.00","57.55 ± 1.00"
"2017-05-16 12:10:10","154.43 ± 1.00","197.67","-47.4","140.40 ± 1.00","61.40 ± 1.00"
"2017-05-16 00:10:10","153.90 ± 1.00","190.00","-40.0","142.19 ± 1.00","59.61 ± 1.00"
"2017-05-15 12:10:09","157.40 ± 1.00","191.67","-44.4","144.04 ± 1.00","57.76 ± 1.00"
"2017-05-15 00:10:09","161.07 ± 1.00","179.00","-53.6","144.40 ± 1.00","57.40 ± 1.00"
"2017-05-14 12:10:10","159.10 ± 1.00","200.33","-50.7","143.58 ± 1.00","58.22 ± 1.00"
"2017-05-14 00:10:09","157.77 ± 1.00","183.33","-45.8","143.93 ± 1.00","57.87 ± 1.00"
"2017-05-13 12:10:10","157.73 ± 1.00","199.00","-46.1","143.81 ± 1.00","57.99 ± 1.00"
"2017-05-13 00:10:09","158.90 ± 1.00","193.00","-45.3","145.13 ± 1.00","56.67 ± 1.00"
"2017-05-12 12:10:10","156.40 ± 1.00","190.33","-39.8","144.56 ± 1.00","57.24 ± 1.00"
"2017-05-12 00:10:09","156.30 ± 1.00","201.33","-43.8","143.22 ± 1.00","58.58 ± 1.00"
"2017-05-11 12:10:09","161.13 ± 1.00","199.67","-50.1","145.61 ± 1.00","56.19 ± 1.00"
"2017-05-10 12:10:09","160.43 ± 1.00","225.67","-61.6","141.19 ± 1.00","60.61 ± 1.00"
"2017-05-10 00:10:09","165.03 ± 1.00","236.33","-70.4","142.18 ± 1.00","59.62 ± 1.00"
"2017-05-09 12:10:09","165.83 ± 1.00","196.33","-68.6","143.51 ± 1.00","58.29 ± 1.00"
"2017-05-09 00:10:09","164.70 ± 1.00","203.00","-66.3","143.32 ± 1.00","58.48 ± 1.00"
"2017-05-08 12:10:09","161.70 ± 1.00","223.67","-61.3","142.40 ± 1.00","59.40 ± 1.00"
"2017-05-08 00:10:10","158.80 ± 1.00","202.67","-59.5","140.44 ± 1.00","61.36 ± 1.00"
"2017-05-07 12:10:10","150.13 ± 1.00","202.33","-59.4","132.81 ± 1.00","68.99 ± 1.00"
"2017-05-06 12:10:09","158.53 ± 1.00","197.33","-56.2","141.29 ± 1.00","60.51 ± 1.00"
"2017-05-06 00:10:10","160.63 ± 1.00","200.67","-65.7","139.99 ± 1.00","61.81 ± 1.00"
"2017-05-05 12:10:09","161.50 ± 1.00","200.67","-66.2","140.57 ± 1.00","61.23 ± 1.00"
"2017-05-05 00:10:09","159.33 ± 1.00","200.33","-60.6","140.55 ± 1.00","61.25 ± 1.00"
"2017-05-04 12:10:09","157.07 ± 1.00","196.67","-54.0","140.69 ± 1.00","61.11 ± 1.00"
"2017-05-04 00:10:10","156.63 ± 1.00","204.33","-53.5","140.46 ± 1.00","61.34 ± 1.00"
"2017-05-03 12:10:09","164.57 ± 1.00","250.33","-60.5","145.20 ± 1.00","56.60 ± 1.00"
"2017-05-03 00:10:09","168.07 ± 1.00","237.33","-68.0","145.65 ± 1.00","56.15 ± 1.00"
"2017-05-02 12:10:09","168.40 ± 1.00","241.00","-68.3","145.83 ± 1.00","55.97 ± 1.00"
"2017-05-02 00:10:10","168.70 ± 1.00","237.33","-69.4","145.70 ± 1.00","56.10 ± 1.00"
"2017-05-01 12:10:09","169.07 ± 1.00","242.33","-70.4","145.66 ± 1.00","56.14 ± 1.00"
"2017-05-01 00:10:10","166.63 ± 1.00","262.67","-65.2","145.39 ± 1.00","56.41 ± 1.00"
"2017-04-30 12:10:09","166.40 ± 1.00","222.33","-64.6","145.40 ± 1.00","56.40 ± 1.00"
"2017-04-30 00:10:09","165.43 ± 1.00","217.67","-62.0","145.45 ± 1.00","56.35 ± 1.00"
"2017-04-29 12:10:10","164.03 ± 1.00","213.67","-57.7","145.68 ± 1.00","56.12 ± 1.00"
"2017-04-29 00:10:10","163.17 ± 1.00","209.00","-54.3","146.05 ± 1.00","55.75 ± 1.00"
"2017-04-28 12:10:09","163.17 ± 1.00","215.67","-55.2","145.75 ± 1.00","56.05 ± 1.00"
"2017-04-28 00:10:09","163.43 ± 1.00","214.67","-56.4","145.59 ± 1.00","56.21 ± 1.00"
"2017-04-27 12:10:09","157.60 ± 1.00","202.33","-43.6","144.48 ± 1.00","57.32 ± 1.00"
"2017-04-27 00:10:09","157.40 ± 1.00","201.00","-42.9","144.51 ± 1.00","57.29 ± 1.00"
"2017-04-26 12:10:09","158.97 ± 1.00","202.33","-46.7","144.74 ± 1.00","57.06 ± 1.00"
"2017-04-26 00:10:10","158.10 ± 1.00","292.00","-46.0","144.17 ± 1.00","57.63 ± 1.00"
"2017-04-25 00:10:09","165.33 ± 1.00","225.00","-63.0","145.02 ± 1.00","56.78 ± 1.00"
"2017-04-24 12:10:09","166.13 ± 1.00","227.67","-63.6","145.51 ± 1.00","56.29 ± 1.00"
"2017-04-24 00:10:09","168.83 ± 1.00","262.00","-70.3","145.49 ± 1.00","56.31 ± 1.00"
"2017-04-23 12:10:10","168.47 ± 1.00","244.33","-69.2","145.57 ± 1.00","56.23 ± 1.00"
"2017-04-23 00:10:09","166.87 ± 1.00","238.00","-66.1","145.28 ± 1.00","56.52 ± 1.00"
"2017-04-22 12:10:09","165.77 ± 1.00","227.00","-62.3","145.64 ± 1.00","56.16 ± 1.00"
"2017-04-22 00:10:09","167.27 ± 1.00","237.33","-65.6","145.80 ± 1.00","56.00 ± 1.00"
"2017-04-21 12:10:09","168.03 ± 1.00","235.00","-68.0","145.62 ± 1.00","56.18 ± 1.00"
"2017-04-21 00:10:10","168.00 ± 1.00","239.67","-68.2","145.52 ± 1.00","56.28 ± 1.00"
"2017-04-20 12:10:09","167.73 ± 1.00","243.33","-66.9","145.75 ± 1.00","56.05 ± 1.00"
"2017-04-20 00:10:09","167.93 ± 1.00","258.33","-67.9","145.57 ± 1.00","56.23 ± 1.00"
"2017-04-19 12:10:10","168.10 ± 1.00","269.67","-68.3","145.57 ± 1.00","56.23 ± 1.00"
"2017-04-19 00:10:09","167.80 ± 1.00","263.00","-67.2","145.70 ± 1.00","56.10 ± 1.00"
"2017-04-18 12:10:09","167.50 ± 1.00","278.67","-67.6","145.30 ± 1.00","56.50 ± 1.00"
"2017-04-18 00:10:09","168.10 ± 1.00","241.67","-68.5","145.50 ± 1.00","56.30 ± 1.00"
"2017-04-17 12:10:09","167.43 ± 1.00","252.67","-67.1","145.42 ± 1.00","56.38 ± 1.00"
"2017-04-17 00:10:09","166.57 ± 1.00","238.00","-65.4","145.26 ± 1.00","56.54 ± 1.00"
"2017-04-16 12:10:09","165.80 ± 1.00","252.33","-63.4","145.29 ± 1.00","56.51 ± 1.00"
"2017-04-15 12:10:10","165.90 ± 1.00","255.67","-65.3","144.72 ± 1.00","57.08 ± 1.00"
"2017-04-15 00:10:10","164.70 ± 1.00","221.33","-62.0","144.81 ± 1.00","56.99 ± 1.00"
"2017-04-14 12:10:09","161.97 ± 1.00","201.67","-57.4","143.95 ± 1.00","57.85 ± 1.00"
"2017-04-14 00:10:10","162.30 ± 1.00","204.00","-59.4","143.57 ± 1.00","58.23 ± 1.00"
